"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"1","Animalia sp.","2020-01","01","2020",4,4,0,615,0.00650406504065041,0.201626016260163,0.00650406504065041,0.201626016260163,0,0
"2","Animalia sp.","2020-02","02","2020",11,11,0,678,0.0162241887905605,0.470501474926254,0.0162241887905605,0.470501474926254,0,0
"3","Animalia sp.","2020-03","03","2020",12,12,0,758.5,0.015820698747528,0.490441661173369,0.015820698747528,0.490441661173369,0,0
"4","Animalia sp.","2020-04","04","2020",8,8,0,784,0.0102040816326531,0.306122448979592,0.0102040816326531,0.306122448979592,0,0
"5","Animalia sp.","2020-05","05","2020",12,12,1,779,0.0154043645699615,0.477535301668806,0.0154043645699615,0.477535301668806,0.00128369704749679,0.0397946084724005
"6","Animalia sp.","2020-06","06","2020",7,7,0,700,0.01,0.3,0.01,0.3,0,0
"7","Animalia sp.","2020-07","07","2020",7,7,0,733,0.00954979536152797,0.296043656207367,0.00954979536152797,0.296043656207367,0,0
"8","Animalia sp.","2020-08","08","2020",7,7,0,808,0.00866336633663366,0.268564356435644,0.00866336633663366,0.268564356435644,0,0
"9","Animalia sp.","2020-09","09","2020",46,46,0,767,0.059973924380704,1.79921773142112,0.059973924380704,1.79921773142112,0,0
"10","Animalia sp.","2020-10","10","2020",60,60,0,765,0.0784313725490196,2.43137254901961,0.0784313725490196,2.43137254901961,0,0
"11","Animalia sp.","2020-11","11","2020",9,9,0,691,0.0130246020260492,0.390738060781476,0.0130246020260492,0.390738060781476,0,0
"12","Animalia sp.","2020-12","12","2020",6,6,0,548,0.0109489051094891,0.339416058394161,0.0109489051094891,0.339416058394161,0,0
"13","Animalia sp.","2021-01","01","2021",15,15,0,749,0.0200267022696929,0.620827770360481,0.0200267022696929,0.620827770360481,0,0
"14","Animalia sp.","2021-02","02","2021",31,31,0,745,0.0416107382550336,1.16510067114094,0.0416107382550336,1.16510067114094,0,0
"15","Animalia sp.","2021-03","03","2021",10,10,0,866,0.0115473441108545,0.35796766743649,0.0115473441108545,0.35796766743649,0,0
"16","Animalia sp.","2021-04","04","2021",7,7,0,769,0.00910273081924577,0.273081924577373,0.00910273081924577,0.273081924577373,0,0
"17","Animalia sp.","2021-05","05","2021",10,11,0,814,0.0122850122850123,0.380835380835381,0.0135135135135135,0.418918918918919,0,0
"18","Animalia sp.","2021-06","06","2021",16,16,0,797,0.0200752823086575,0.602258469259724,0.0200752823086575,0.602258469259724,0,0
"19","Animalia sp.","2021-07","07","2021",14,14,0,836,0.0167464114832536,0.519138755980861,0.0167464114832536,0.519138755980861,0,0
"20","Animalia sp.","2021-08","08","2021",5,5,0,909,0.0055005500550055,0.170517051705171,0.0055005500550055,0.170517051705171,0,0
"21","Animalia sp.","2021-09","09","2021",6,6,0,857,0.00700116686114352,0.210035005834306,0.00700116686114352,0.210035005834306,0,0
"22","Animalia sp.","2021-10","10","2021",21,23,0,913,0.0230010952902519,0.713033953997809,0.0251916757940854,0.780941949616648,0,0
"23","Animalia sp.","2021-11","11","2021",10,10,0,757,0.0132100396301189,0.396301188903567,0.0132100396301189,0.396301188903567,0,0
"24","Animalia sp.","2021-12","12","2021",17,17,0,525,0.0323809523809524,1.00380952380952,0.0323809523809524,1.00380952380952,0,0
"25","Animalia sp.","2022-01","01","2022",14,14,0,563,0.024866785079929,0.770870337477798,0.024866785079929,0.770870337477798,0,0
"26","Animalia sp.","2022-02","02","2022",7,7,0,559,0.0125223613595707,0.350626118067979,0.0125223613595707,0.350626118067979,0,0
