"","Species","month","sighting_per_30_days","apsolut_sighting","animals_per_30_days","subadult_animals_per_30_days"
"1","Animalia sp.","01",0.531108041366147,11,0.531108041366147,0
"2","Animalia sp.","02",0.662076088045057,16.3333333333333,0.662076088045057,0
"3","Animalia sp.","03",0.529179921130822,13,0.529179921130822,0
"4","Animalia sp.","04",0.389697338002134,9.66666666666667,0.389697338002134,0
"5","Animalia sp.","05",0.711841413518874,18.3333333333333,0.724535926213386,0.0132648694908002
"6","Animalia sp.","06",0.58803052486496,14.6666666666667,0.58803052486496,0
"7","Animalia sp.","07",0.936206910799401,23.3333333333333,0.936206910799401,0
"8","Animalia sp.","08",0.747835052228545,20.6666666666667,0.747835052228545,0
"9","Animalia sp.","09",1.18677487206539,31,1.18677487206539,0
"10","Animalia sp.","10",1.37645211193111,33.3333333333333,1.39908811047073,0
"11","Animalia sp.","11",1.96366966797945,36.3333333333333,1.96366966797945,0
"12","Animalia sp.","12",2.45798076858439,26.6666666666667,2.45798076858439,0
"13","Aves sp","02",0.112751677852349,3,0.112751677852349,0
"14","Aves sp","03",0.144492418917562,3.5,0.144492418917562,0
"15","Aves sp","04",0.181798921698982,4.5,0.220810625210035,0
"16","Aves sp","05",0.134837595511753,3.5,0.134837595511753,0
"17","Aves sp","06",0.622778305101037,16.5,0.679240036594136,0
"18","Aves sp","07",0.316991925052431,8.5,0.316991925052431,0
"19","Aves sp","08",0.647964796479648,19,0.647964796479648,0
"20","Aves sp","09",0.282100471764851,8,0.404620891834862,0
"21","Aves sp","10",0.0518394648829431,1,0.0518394648829431,0
"22","Aves sp","11",0.0792602377807133,2,0.0792602377807133,0
"23","Aves sp.","01",0.146759409133669,3,0.146759409133669,0
"24","Aves sp.","02",0.19377281417072,4.33333333333333,0.293951705047285,0
"25","Aves sp.","03",0.589663809269069,14.3333333333333,0.646765449615672,0
"26","Aves sp.","04",0.816784060097644,21,0.971835677623718,0
"27","Aves sp.","05",0.207564485369508,5.33333333333333,0.207564485369508,0
"28","Aves sp.","06",0.606714621887972,15,0.635286050459401,0
"29","Aves sp.","07",0.471181605948153,11.6666666666667,0.535384555459847,0
"30","Aves sp.","08",0.166525417578622,4.66666666666667,0.190584400892553,0
"31","Aves sp.","09",0.183244360805028,5,0.202801075276996,0
"32","Aves sp.","10",0.47289251637694,10.6666666666667,0.534467410176898,0
"33","Aves sp.","11",0.161591997063326,3,0.161591997063326,0
"34","Aves sp.","12",0.430563952543475,6.5,0.607706809686332,0
"35","Bos taurus","03",0.123914476512568,3,0.167392737382133,0.020435069215557
"36","Bos taurus","04",0.0405732674858637,1,0.0405732674858637,0
"37","Bos taurus","05",0.116104868913858,3,1.19975031210986,0
"38","Bos taurus","06",0.128571428571429,3,0.171428571428571,0
"39","Bos taurus","07",0.0813648293963255,2,0.203412073490814,0
"40","Bos taurus","08",1.05852909699197,30.3333333333333,2.17039357214728,0.0596809680968097
"41","Bos taurus","09",1.39746779135784,39.6666666666667,3.31668365029441,0.256709451575263
"42","Bos taurus","10",0.450344705059215,13,0.570092165560997,0.0339539978094195
"43","Bos taurus","11",0.063230399532009,1.5,0.292551717018393,0.130246020260492
"44","Bos taurus","12",0.116856100104275,2,0.468663538408064,0
"45","Canidae sp","02",0.200357781753131,4,0.250447227191413,0
"46","Canidae sp","03",0.130434782608696,3,0.130434782608696,0
"47","Canidae sp","04",0.0842696629213483,2,0.0842696629213483,0
"48","Canidae sp","05",0.193508114856429,5,0.193508114856429,0
"49","Canidae sp","07",0.162729658792651,4,0.162729658792651,0
"50","Canidae sp","08",0.144353899883586,4,0.144353899883586,0
"51","Canidae sp","09",0.0378310214375788,1,0.0378310214375788,0
"52","Canidae sp","10",0.155518394648829,3,0.207357859531773,0
"53","Canidae sp","11",0.170132325141777,3,0.170132325141777,0
"54","Canis aureus","01",0.224978562202177,5,0.245672821214193,0
"55","Canis aureus","02",0.236879332931218,5.66666666666667,0.288720846000978,0
"56","Canis aureus","03",0.382175919291508,9,0.382175919291508,0
"57","Canis aureus","04",0.195444855080005,5,0.20948979890023,0
"58","Canis aureus","05",0.077719846351483,2,0.077719846351483,0
"59","Canis aureus","06",0.0857142857142857,2,0.0857142857142857,0
"60","Canis aureus","07",0.0845839017735334,2,0.0845839017735334,0
"61","Canis aureus","08",0.0554180418041804,1.5,0.0554180418041804,0
"62","Canis aureus","09",0.14823852649931,4,0.185298158124138,0
"63","Canis aureus","10",0.158807064264187,4,0.179068502172684,0
"64","Canis aureus","11",0.063230399532009,1.5,0.0849380695754244,0
"65","Canis aureus","12",0.226277372262774,4,0.226277372262774,0
"66","Canis familiaris","01",0.470754044361356,9.33333333333333,0.588369220513117,0
"67","Canis familiaris","02",0.228231051698747,5.66666666666667,0.255016636356874,0.0125279642058166
"68","Canis familiaris","03",0.161884678621593,4,0.161884678621593,0
"69","Canis familiaris","04",0.118121999314768,3,0.118121999314768,0
"70","Canis familiaris","05",0.038392580527412,1,0.0577433920130549,0
"71","Canis familiaris","06",0.0393404130056796,1,0.0975014031757257,0
"72","Canis familiaris","07",0.174962771160945,4.33333333333333,0.322931266725794,0
"73","Canis familiaris","08",0.168043992020467,4.66666666666667,0.264279925276191,0
"74","Canis familiaris","09",0.22612470592478,6,0.302127427262343,0
"75","Canis familiaris","10",0.339030374953094,7.33333333333333,0.3503483742229,0
"76","Canis familiaris","11",0.301361385510215,7.33333333333333,0.342253244799396,0.0396301188903567
"77","Canis familiaris","12",0.54732186305179,9.5,0.54732186305179,0
"78","Canis lupus","01",0.403813968211038,7.66666666666667,0.420616136232719,0
"79","Canis lupus","02",0.348543325496078,7.66666666666667,0.377767771514655,0
"80","Canis lupus","03",0.59067691708715,14,0.681836575885102,0
"81","Canis lupus","04",0.316644136212659,8,0.356696882373586,0
"82","Canis lupus","05",0.143521565100657,3.66666666666667,0.143521565100657,0
"83","Canis lupus","06",0.298322515373632,7.33333333333333,0.298322515373632,0
"84","Canis lupus","07",0.20582637777372,5,0.20582637777372,0
"85","Canis lupus","08",0.262490058668265,7.33333333333333,0.288067616424041,0
"86","Canis lupus","09",0.211377019601656,5.66666666666667,0.312687212603986,0
"87","Canis lupus","10",0.543125641270651,14,0.612244927781242,0
"88","Canis lupus","11",0.274380111123285,6.33333333333333,0.341130854546011,0
"89","Canis lupus","12",0.402659597142296,6.33333333333333,0.422342136824835,0
"90","Capra hircus","01",0.0504065040650407,1,0.252032520325203,0
"91","Capra hircus","03",0.0383334525873815,1,0.0383334525873815,0
"92","Capra hircus","05",0.0387016229712859,1,0.0387016229712859,0
"93","Capra hircus","06",0.0419484072698847,1,0.145456322063709,0
"94","Capra hircus","09",0.0384722251907581,1,0.19300232970697,0
"95","Capra hircus","10",0.0339539978094195,1,0.135815991237678,0
"96","Capreolus capreolus","01",0.88008134162212,19.3333333333333,0.990450723019539,0
"97","Capreolus capreolus","02",0.351338255645077,8.33333333333333,0.45083035279267,0.0142576204523107
"98","Capreolus capreolus","03",1.08976211387806,27,1.1400516342449,0
"99","Capreolus capreolus","04",1.12538070925979,28.6666666666667,1.17689871568212,0.0127551020408163
"100","Capreolus capreolus","05",2.10333042219933,54,2.14255467387544,0.0126945126945127
"101","Capreolus capreolus","06",1.45869906423075,36.3333333333333,1.66481847969558,0.192439524903948
"102","Capreolus capreolus","07",2.66395730516322,65.6666666666667,2.85235354702088,0.242639461455204
"103","Capreolus capreolus","08",2.73331819988363,76,3.08883334976881,0.28598495278321
"104","Capreolus capreolus","09",1.19790328617298,32,1.29912668846892,0.0863021345600618
"105","Capreolus capreolus","10",0.827761286692664,21,0.890920161049271,0.131066869975445
"106","Capreolus capreolus","11",0.509830648628344,11.3333333333333,0.58979143168119,0.0396301188903567
"107","Capreolus capreolus","12",0.356718511690735,5.33333333333333,0.394431407067864,0.0196825396825397
"108","Cervus elaphus","01",0.226407926098721,4.66666666666667,0.260012262142081,0
"109","Cervus elaphus","02",0.154792922710342,3.66666666666667,0.179848851121975,0
"110","Cervus elaphus","03",0.376619375651995,9.33333333333333,0.443914523287514,0
"111","Cervus elaphus","04",0.742878977543297,19,0.896686599421698,0.038265306122449
"112","Cervus elaphus","05",1.04134002380818,26.6666666666667,1.18481386081738,0.0911430160467388
"113","Cervus elaphus","06",1.22226254453811,30.3333333333333,1.58015822476754,0.384122622233218
"114","Cervus elaphus","07",0.794294557380932,19.6666666666667,1.14131004623528,0.269379068645943
"115","Cervus elaphus","08",1.00676688254778,27.3333333333333,1.33528349924632,0.188794534284628
"116","Cervus elaphus","09",1.70907610569801,45.3333333333333,1.82008466134129,0.0386859597751512
"117","Cervus elaphus","10",1.17359349543431,27,1.32156749737251,0.0135076252723312
"118","Cervus elaphus","11",0.748482697903235,16.3333333333333,0.864988923922095,0.0378071833648393
"119","Cervus elaphus","12",0.536346877257667,6,0.589247901148452,0
"120","Dama dama","05",0.154806491885144,4,0.193508114856429,0.0387016229712859
"121","Dama dama","06",0.328317373461012,8,0.369357045143639,0.0410396716826265
"122","Dama dama","07",0.488188976377953,12,0.813648293963255,0.122047244094488
"123","Dama dama","08",0.144353899883586,4,0.324796274738068,0
