"","Species","year","sighting_per_30_days","apsolut_sighting","animals_per_30_days","subadult_animals_per_30_days"
"1","Animalia sp.","2020",0.64763160960563,15.75,0.64763160960563,0.00331621737270004
"2","Animalia sp.","2021",0.534408946986802,13.5,0.543241574795334,0
"3","Animalia sp.","2022",1.83817262103664,34.3333333333333,1.83817262103664,0
"4","Aves sp","2020",0.0391134289439374,1,0.0391134289439374,0
"5","Aves sp","2021",0.389522414203807,10.6666666666667,0.437965493109177,0
"6","Aves sp","2022",0.118833382718447,2.83333333333333,0.118833382718447,0
"7","Aves sp.","2020",0.412512688095545,10.1,0.452493171016857,0
"8","Aves sp.","2021",0.320580264403121,8.08333333333333,0.385382211195862,0
"9","Aves sp.","2022",0.417662435138877,9.18181818181818,0.480225359170003,0
"10","Bos taurus","2020",0.188216159841484,4.66666666666667,0.36019006655293,0.0630158087032375
"11","Bos taurus","2021",1.2408042255507,35.5,2.78292867028378,0.156724430227955
"12","Bos taurus","2022",0.101392482423684,2.57142857142857,0.322236722149276,0
"13","Canidae sp","2022",0.142126182449336,3.22222222222222,0.153451616929472,0
"14","Canis aureus","2020",0.197786090122365,4.66666666666667,0.211604798972756,0
"15","Canis aureus","2021",0.104590513473838,2.75,0.1282337672466,0
"16","Canis aureus","2022",0.195561875191594,4.5,0.206095583056763,0
"17","Canis familiaris","2020",0.295542347299976,6.4,0.351179748973062,0
"18","Canis familiaris","2021",0.211600577576925,5.25,0.236447878483898,0.0130395207740433
"19","Canis familiaris","2022",0.211002210904073,4.63636363636364,0.288359964020243,0
"20","Canis lupus","2020",0.199143624330887,4.75,0.230451432809496,0
"21","Canis lupus","2021",0.337691468637471,8.54545454545454,0.363331943084573,0
"22","Canis lupus","2022",0.474498972868892,10.25,0.534607230990381,0
"23","Capra hircus","2020",0.0433118035743087,1,0.153324379533557,0
"24","Capra hircus","2021",0.0348753822765342,1,0.0858063789906635,0
"25","Capra hircus","2022",0.0391907720304971,1,0.131741355711578,0
"26","Capreolus capreolus","2020",1.37338198761706,33.3333333333333,1.52109487383573,0.11440370457924
"27","Capreolus capreolus","2021",1.17744126501039,31.5833333333333,1.28380210790172,0.0768905380275409
"28","Capreolus capreolus","2022",1.27369703363922,31.3333333333333,1.36536830935434,0.0680689667528207
"29","Cervus elaphus","2020",0.853638888801642,21,1.05775071321436,0.142425155769029
"30","Cervus elaphus","2021",0.631793091319808,17.0909090909091,0.793004872278177,0.0887852978287803
"31","Cervus elaphus","2022",0.955737467693542,21.6666666666667,1.07070337480764,0.04161465015758
"32","Dama dama","2022",0.278916685401924,7,0.425327432175348,0.0504471346871002
"33","Equus caballus","2020",0.266868976128449,6.5,0.470917520861001,0
