"","Survey_Name","Trap_Station_Name","Session_Start_Date","Session_End_Date","Camelot_GPS_Latitude","Camelot_GPS_Longitude","activ_days"
"1","VUKA - BIOM aktivnost kamera","CRO231_1",2019-03-02,2020-09-02,45.52192,14.59906,550
"2","Lifelynx 2020","CRO417_3",2019-12-28,2022-10-21,45.194375,14.91534,1028
"3","Lifelynx 2020","CRO417_4",2020-11-13,2020-11-30,45.218983,14.907833,17
"4","LifeLynx 2021","CRO417_4",2020-12-01,2021-08-08,45.218983,14.907833,250
"5","Lifelynx 2020","CRO418_1",2019-11-01,2022-02-09,45.144032,14.949509,831
"6","LifeLynx 2021","CRO418_1",2022-05-16,2022-10-21,45.194375,14.91534,158
"7","Lifelynx 2020","CRO446_3",2019-05-21,2020-06-09,45.130087,14.96344,385
"8","Lifelynx 2020","CRO446_3",2020-07-21,2021-11-03,45.130087,14.96344,470
"9","LifeLynx 2021","CRO446_3",2022-02-09,2022-05-16,45.130087,14.96344,96
"10","Lifelynx 2020","CRO446_5",2019-09-02,2020-12-25,45.056442,14.995494,480
"11","LifeLynx 2021","CRO446_5",2021-02-19,2021-03-19,45.056442,14.995494,28
"12","LifeLynx 2021","CRO446_5",2022-02-09,2022-06-01,45.056442,14.995494,112
"13","LifeLynx 2021","CRO446_6",2020-11-13,2022-10-21,45.1236,14.995267,707
"14","LifeLynx 2021","CRO447_1",2023-01-18,2023-04-19,45.10272,15.14909,91
"15","Lifelynx 2020","CRO450_4",2020-01-03,2020-05-22,45.066808,15.474082,140
"16","Lifelynx 2020","CRO474_2",2020-06-18,2020-11-25,44.946523,15.446694,160
"17","LifeLynx 2021","CRO474_2",2021-01-01,2021-11-25,44.946523,15.446694,328
"18","Lifelynx 2020","CRO487_10",2020-01-09,2020-02-11,44.920168,15.040465,33
"19","Lifelynx 2020","CRO487_11",2020-01-08,2020-02-11,44.881497,15.043362,34
"20","Lifelynx 2020","CRO487_11",2020-08-13,2020-09-15,44.881497,15.043362,33
"21","LifeLynx 2021","CRO487_11",2021-01-01,2022-12-22,44.881497,15.043362,720
"22","Lifelynx 2020","CRO487_12",2020-01-08,2020-02-11,44.934582,15.02275,34
"23","Lifelynx 2020","CRO487_13",2020-02-11,2020-11-09,44.941054,15.009701,272
"24","LifeLynx 2021","CRO487_13",2021-09-11,2021-11-30,44.941054,15.009701,80
"25","LifeLynx 2021","CRO487_13",2022-07-19,2022-08-23,44.941054,15.009701,35
"26","Lifelynx 2020","CRO487_14",2020-04-28,2020-05-20,44.687135,15.066404,22
"27","LifeLynx 2021","CRO487_14",2021-05-04,2021-06-15,44.687135,15.066404,42
"28","LifeLynx 2021","CRO487_14",2022-04-14,2022-04-21,44.687135,15.066404,7
"29","LifeLynx 2021","CRO487_15",2022-07-28,2022-12-22,44.784666,15.03328,147
"30","Lifelynx 2020","CRO487_16",2020-01-15,2020-04-30,44.874956,14.961283,106
"31","LifeLynx 2021","CRO487_16",2021-12-19,2022-04-07,44.872162,15.020277,109
"32","LifeLynx 2021","CRO490_3",2021-02-27,2021-08-20,44.894248,15.414727,174
"33","LifeLynx 2021","CRO503_2",2021-07-13,2022-09-12,44.806107,15.115694,426
"34","LifeLynx 2021","CRO503_3",2022-02-27,2022-04-06,44.77169,15.12455,38
"35","LifeLynx 2021","CRO503_4",2022-04-28,2022-06-07,44.796535,15.039426,40
"36","Lifelynx 2020","CRO504_1",2019-12-23,2020-09-01,44.806438,15.252052,253
"37","Lifelynx 2020","CRO504_2",2020-09-04,2022-01-15,44.805642,15.248932,498
"38","LifeLynx 2021","CRO504_2",2022-03-04,2022-04-08,44.805642,15.248932,35
"39","LifeLynx 2021","CRO504_2",2022-07-16,2023-03-23,44.805642,15.248932,250
"40","LifeLynx 2021","CRO504_3",2021-02-02,2021-11-03,44.828846,15.235882,274
"41","Lifelynx 2020","CRO505_2",2020-02-08,2020-06-19,44.802447,15.41681,132
"42","LifeLynx 2021","CRO505_2",2020-10-31,2022-06-06,44.802447,15.41681,583
"43","LifeLynx 2021","CRO505_2",2022-10-03,2023-03-23,44.802447,15.41681,171
"44","LifeLynx 2021","CRO518_1",2020-10-12,2021-03-23,44.728531,14.937967,162
"45","Lifelynx 2020","CRO518_2",2020-06-16,2020-09-08,44.716866,14.956296,84
"46","LifeLynx 2021","CRO518_2",2021-01-03,2021-05-21,44.716866,14.956296,138
"47","LifeLynx 2021","CRO518_3",2021-01-20,2022-09-15,44.690377,14.963422,603
"48","LifeLynx 2021","CRO518_4",2021-03-19,2021-11-21,44.700951,14.96393,247
"49","LifeLynx 2021","CRO518_5",2022-02-24,2022-07-28,44.77129,14.92806,154
"50","LifeLynx 2021","CRO519_11",2022-11-08,2022-12-20,44.764929,15.059684,42
"51","Lifelynx 2020","CRO519_12",2020-01-11,2020-11-05,44.747843,15.137624,299
"52","LifeLynx 2021","CRO519_12",2022-10-11,2022-12-22,44.747843,15.137624,72
"53","LifeLynx 2021","CRO519_14",2020-12-04,2021-07-09,44.728507,15.065527,217
"54","LifeLynx 2021","CRO519_15",2020-12-01,2021-02-25,44.689314,15.0586,86
"55","LifeLynx 2021","CRO519_16",2021-02-28,2021-03-10,44.75579,15.07837,10
"56","LifeLynx 2021","CRO519_16",2022-01-24,2022-04-07,44.75579,15.07837,73
"57","LifeLynx 2021","CRO519_17",2021-02-25,2021-03-30,44.696923,15.053214,33
"58","LifeLynx 2021","CRO519_18",2022-09-09,2022-12-20,44.699495,15.080317,102
"59","LifeLynx 2021","CRO519_19",2022-11-19,2022-12-10,44.734405,15.047469,21
"60","Lifelynx 2020","CRO519_20",2020-01-15,2020-04-27,44.726347,15.137622,103
"61","Lifelynx 2020","CRO523_1",2020-02-07,2022-07-01,44.712631,15.586566,875
"62","LifeLynx 2021","CRO523_1",2022-10-03,2022-12-25,44.712631,15.586566,83
"63","LifeLynx 2021","CRO525_2",2022-03-29,2022-12-22,44.655838,15.858022,268
"64","LifeLynx 2021","CRO525_3",2022-07-23,2022-11-25,44.67915,15.84576,125
"65","Lifelynx 2020","CRO534_1",2020-01-08,2020-09-29,44.652833,15.015533,265
"66","LifeLynx 2021","CRO534_1",2020-12-01,2021-02-26,44.652833,15.015533,87
"67","LifeLynx 2021","CRO535_10",2021-04-21,2021-09-21,44.60584,15.10899,153
