"","Trap_Station_Name","Session_Start_Date2","Session_End_Date2","Camelot_GPS_Latitude","Camelot_GPS_Longitude"
"1","CRO231_1",2019-03-02,2020-09-02,45.52192,14.59906
"2","CRO417_3",2019-12-28,2022-10-21,45.194375,14.91534
"3","CRO417_4",2020-11-13,2021-08-08,45.218983,14.907833
"4","CRO418_1",2019-11-01,2022-10-21,45.1903570140845,14.9180671032864
"5","CRO446_3",2019-05-21,2022-05-16,45.130087,14.96344
"6","CRO446_5",2019-09-02,2022-06-01,45.056442,14.995494
"7","CRO446_6",2020-11-13,2022-10-21,45.1236,14.995267
"8","CRO447_1",2023-01-18,2023-04-19,45.10272,15.14909
"9","CRO450_4",2020-01-03,2020-05-22,45.066808,15.474082
"10","CRO474_2",2020-06-18,2021-11-25,44.946523,15.446694
"11","CRO487_10",2020-01-09,2020-02-11,44.920168,15.040465
"12","CRO487_11",2020-01-08,2022-12-22,44.881497,15.043362
"13","CRO487_12",2020-01-08,2020-02-11,44.934582,15.02275
"14","CRO487_13",2020-02-11,2022-08-23,44.941054,15.009701
"15","CRO487_14",2020-04-28,2022-04-21,44.687135,15.066404
"16","CRO487_15",2022-07-28,2022-12-22,44.784666,15.03328
"17","CRO487_16",2020-01-15,2022-04-07,44.8729964072398,15.0026588823529
"18","CRO490_3",2021-02-27,2021-08-20,44.894248,15.414727
"19","CRO503_2",2021-07-13,2022-09-12,44.806107,15.115694
"20","CRO503_3",2022-02-27,2022-04-06,44.77169,15.12455
"21","CRO503_4",2022-04-28,2022-06-07,44.796535,15.039426
"22","CRO504_1",2019-12-23,2020-09-01,44.806438,15.252052
"23","CRO504_2",2020-09-04,2023-03-23,44.805642,15.248932
"24","CRO504_3",2021-02-02,2021-11-03,44.828846,15.235882
"25","CRO505_2",2020-02-08,2023-03-23,44.802447,15.41681
"26","CRO518_1",2020-10-12,2021-03-23,44.728531,14.937967
"27","CRO518_2",2020-06-16,2021-05-21,44.716866,14.956296
"28","CRO518_3",2021-01-20,2022-09-15,44.690377,14.963422
"29","CRO518_4",2021-03-19,2021-11-21,44.700951,14.96393
"30","CRO518_5",2022-02-24,2022-07-28,44.77129,14.92806
"31","CRO519_11",2022-11-08,2022-12-20,44.764929,15.059684
"32","CRO519_12",2020-01-11,2022-12-22,44.747843,15.137624
"33","CRO519_14",2020-12-04,2021-07-09,44.728507,15.065527
"34","CRO519_15",2020-12-01,2021-02-25,44.689314,15.0586
"35","CRO519_16",2021-02-28,2022-04-07,44.75579,15.07837
"36","CRO519_17",2021-02-25,2021-03-30,44.696923,15.053214
"37","CRO519_18",2022-09-09,2022-12-20,44.699495,15.080317
"38","CRO519_19",2022-11-19,2022-12-10,44.734405,15.047469
"39","CRO519_20",2020-01-15,2020-04-27,44.726347,15.137622
"40","CRO523_1",2020-02-07,2022-12-25,44.712631,15.586566
"41","CRO525_2",2022-03-29,2022-12-22,44.655838,15.858022
"42","CRO525_3",2022-07-23,2022-11-25,44.67915,15.84576
"43","CRO534_1",2020-01-08,2021-02-26,44.652833,15.015533
"44","CRO535_10",2021-04-21,2022-11-22,44.60584,15.10899
"45","CRO535_11",2021-09-24,2021-11-24,44.60196,15.13294
"46","CRO535_12",2022-05-11,2022-12-10,44.637036,15.066129
"47","CRO535_13",2021-12-18,2022-09-28,44.64585,15.118117
"48","CRO535_14",2022-09-26,2022-11-29,44.62823,15.05981
